Statement,Header,Field Name,Field Value;
Statement,Data,BrokerName,;
Statement,Data,BrokerAddress,;
Statement,Data,Title,Activity Statement;
"Statement,Data,Period,""January 1, 2022 - December 31, 2022""";
"Statement,Data,WhenGenerated,""2025-04-09, 03:29:07 EDT""";
Account Information,Header,Field Name,Field Value;
Account Information,Data,Name,John Doe;
Account Information,Data,Account,U7212345;
Account Information,Data,Account Type,Individual;
Account Information,Data,Customer Type,Individual;
Account Information,Data,Account Capabilities,Margin;
Account Information,Data,Base Currency,EUR;
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change;
Mark-to-Market Performance Summary,Data,Stocks,IVSD,100,0,22.3000,--,-599.4,-2.6,-1.25,19.79607,-583.45393,;
Mark-to-Market Performance Summary,Data,Stocks,KMI,0,0,--,--,-302.21427,40.60621,-2.01211099,37.7274282,-225.89274279,;
Mark-to-Market Performance Summary,Data,Stocks,MO,100,100,47.3900,45.7100,-196.77881,0,0,245.90797,49.12916,;
Mark-to-Market Performance Summary,Data,Stocks,MUV2d,10,0,260.5000,--,-209,-16,-1.25,0,-226.25,;
Mark-to-Market Performance Summary,Data,Stocks,NEM,0,20,--,47.2000,-417.251042,-2.06166688,-0.88712,29.351014,-390.84881488,;
Mark-to-Market Performance Summary,Data,Stocks,NGLB,0,0,--,--,-174,-6,-4.25,0,-184.25,;
Mark-to-Market Performance Summary,Data,Stocks,NNI,40,40,97.6800,90.7500,-207.95252,0,0,26.1387784,-181.8137416,;
Mark-to-Market Performance Summary,Data,Stocks,NOVC,100,0,98.7800,--,-109,-57.2,-7.7283,76.6107471,-97.3175529,;
Mark-to-Market Performance Summary,Data,Stocks,NVDA,10,0,294.1100,--,-1253.761049,13.50135,-1.03789722,0.5231296,-1240.77446662,;
Mark-to-Market Performance Summary,Data,Stocks,OD7Z,0,0,--,--,-253.6,6,-6,0,-253.6,;
Mark-to-Market Performance Summary,Data,Stocks,PFE,90,0,59.0500,--,-599.179068,8.66646,-0.90636747,23.055984,-568.36299147,;
Mark-to-Market Performance Summary,Data,Stocks,PHAG,0,0,--,--,20.7,-0.6,-3,0,17.1,;
Mark-to-Market Performance Summary,Data,Stocks,PHPT,45,0,88.8900,--,-411.3299385,30.63852,-4.1264,0,-384.8178185,;
Mark-to-Market Performance Summary,Data,Stocks,PLTR,100,0,18.2100,--,-110.53153,79.999285,-0.90254323,0,-31.43478823,;
Mark-to-Market Performance Summary,Data,Stocks,PND,200,0,20.8200,--,-360.8,-131.2,-4.1368,62.088012,-434.048788,;
Mark-to-Market Performance Summary,Data,Stocks,QQQ3,0,0,--,--,94.8,54.2,-12,0,137,;
Mark-to-Market Performance Summary,Data,Stocks,QQQS,0,150,--,47.8450,4863.85,190.84,-105.85075,0,4948.83925,;
Mark-to-Market Performance Summary,Data,Stocks,RHMd,0,0,--,--,736,-31,-6,0,699,;
Mark-to-Market Performance Summary,Data,Stocks,RIO1,40,0,59.3000,--,210.4,-1.2,-1.2906,167.608049,375.517449,;
Mark-to-Market Performance Summary,Data,Stocks,ROKU,10,0,228.2000,--,-1014.696209,50.991405,-2.78545044,0,-966.49025444,;
Mark-to-Market Performance Summary,Data,Stocks,SBER,0,100,--,0.0453,-1189.6208401,-18.33951,-5.23986,0,-1213.2002101,;
Mark-to-Market Performance Summary,Data,Stocks,SWKS,20,0,155.1400,--,-15.970698,20.947094,-0.89617547,0,4.08022053,;
Mark-to-Market Performance Summary,Data,Stocks,TBK,10,10,642.0000,688.0000,460,0,0,344.1763,804.1763,;
Mark-to-Market Performance Summary,Data,Stocks,TSN,90,90,87.1600,62.2500,-2302.131087,0,0,111.6365922,-2190.4944948,;
Mark-to-Market Performance Summary,Data,Stocks,UNA.DIVR,0,0,--,--,-42.68,0,0,42.68,0,;
Mark-to-Market Performance Summary,Data,Stocks,UNA.DRIP,0,0,--,--,-42.68,0,0,42.68,0,;
Mark-to-Market Performance Summary,Data,Stocks,UNA.RT,0,0,--,--,-42.68,0,0,42.68,0,;
Mark-to-Market Performance Summary,Data,Stocks,UNA.RTS 2,0,0,--,--,-42.68,0,0,42.68,0,;
Mark-to-Market Performance Summary,Data,Stocks,UNIC,100,0,14.6760,--,-103.2,-8,-1.25,0,-112.45,;
Mark-to-Market Performance Summary,Data,Stocks,UNP,10,0,251.9300,--,2.81186,38.972925,-0.93019143,7.463736,48.31832957,;
Mark-to-Market Performance Summary,Data,Stocks,UNVB,100,100,47.0550,46.8700,152.22,0,0,0,152.22,;
Mark-to-Market Performance Summary,Data,Stocks,UPST,0,0,--,--,-1271.3691106,55.347906,-2.85763833,0,-1218.87884293,;
Mark-to-Market Performance Summary,Data,Stocks,VRNS,0,0,--,--,-1480.011043,-26.66622,-1.91364028,0,-1508.59090328,;
Mark-to-Market Performance Summary,Data,Stocks,VZLCd,100,0,18.7730,--,-109.4,10.2,0,0,-99.2,;
Mark-to-Market Performance Summary,Data,Stocks,WPM,350,350,42.9300,39.0800,-1415.95426,0,0,172.4984969,-1243.4557631,;
Mark-to-Market Performance Summary,Data,Stocks,XSDG,30,0,119.4000,--,-378,12,-1.608,4.43422,-363.17378,;
Mark-to-Market Performance Summary,Data,Stocks,ZSIUEz,20,0,187.1400,--,-180.8,4,-3,0,-179.8,;
Mark-to-Market Performance Summary,Data,Total,,,,,,-17591.6405339,-429.01178328,-319.75719572,2259.372405,-16081.0371079,;
Mark-to-Market Performance Summary,Data,Structured Products,EURUSD 1.3046 1.295 P EUR/USD Mini Short,0,0,--,--,143.25,28.25,-12,0,159.5,;
Mark-to-Market Performance Summary,Data,Total,,,,,,143.25,28.25,-12,0,159.5,;
Mark-to-Market Performance Summary,Data,Forex,AUD,0.000017505,0.000017505,0.63888,0.6368,-0.00000004,0,0,0,-0.00000004,;
Mark-to-Market Performance Summary,Data,Forex,CAD,0.00002541,67.49997758,0.69571,0.68997,-3.65903103,0.909548,-7.55756,0,-10.30704303,;
Mark-to-Market Performance Summary,Data,Forex,CHF,-0.00000295,75.07999705,0.96404,1.0104,2.47013186,0,0,0,2.47013186,;
Mark-to-Market Performance Summary,Data,Forex,CZK,0,0,0.040205,0.0414,-0.09417659,1.47326,-1.9188,0,-0.53971659,;
Mark-to-Market Performance Summary,Data,Forex,DKK,0.000147865,-0.000278705,0.13445,0.13447,0.00345664,0.175339,-3.84424,0,-3.66544436,;
Mark-to-Market Performance Summary,Data,Forex,EUR,2360.234770392,2268.174801263,1.0000,1.0000,0,-0.001002,0,0,-0.001002,;
Mark-to-Market Performance Summary,Data,Forex,GBP,0.003566846,32.500004435,1.1895,1.1304,-5.34630599,0.00017,0,0,-5.34613599,;
Mark-to-Market Performance Summary,Data,Forex,HKD,0.00038725,78.01914725,0.11279,0.11964,-45.75035372,3.262756,-2.0814,0,-44.56899772,;
Mark-to-Market Performance Summary,Data,Forex,NOK,-0.0001551,0.00003929,0.099745,0.095495,-0.24758169,0.018789,-3.75704,0,-3.98583269,;
Mark-to-Market Performance Summary,Data,Forex,PLN,0,0,0.21791,0.2133,-8.43515289,6.964952,-4.0874,0,-5.55760089,;
Mark-to-Market Performance Summary,Data,Forex,RUB,-0.00427509,0.000000026,0.011757,0.012808,-0.00001742,0,0,0,-0.00001742,;
Mark-to-Market Performance Summary,Data,Forex,SEK,0.00044754,0.00049761,0.097154,0.089588,-0.3262508,0.056782,-1.9188,0,-2.1882688,;
Mark-to-Market Performance Summary,Data,Forex,USD,-61336.65889146,1316.669906627,0.87933,0.93424,856.56488832,113.418567,-13.71744,0,956.26601532,;
Mark-to-Market Performance Summary,Data,Total,,,,,,795.17960665,126.279161,-38.88268,0,882.57608765,;
Mark-to-Market Performance Summary,Data,Total (All Assets),,,,,,-16653.21092725,-274.48262228,-370.63987572,2259.372405,-15038.96102025,;
Mark-to-Market Performance Summary,Data,Broker Interest Paid and Received,,,,,,,,,,-856.2183496,;
Mark-to-Market Performance Summary,Data,Other Fees,,,,,,,,,,-0.560112,;
Total P/L for Statement Period,,,,,,,,,,,,-15895.73948185,;
Realized & Unrealized Performance Summary,Header,Asset Category,Symbol,Cost Adj.,Realized S/T Profit,Realized S/T Loss,Realized L/T Profit,Realized L/T Loss,Realized Total,Unrealized S/T Profit,Unrealized S/T Loss,Unrealized L/T Profit,Unrealized L/T Loss,Unrealized Total,Total,Code;
Realized & Unrealized Performance Summary,Data,Stocks,1177,0,0,-491.62209805,0,0,-491.62209805,0,0,0,0,0,-491.62209805,;
Realized & Unrealized Performance Summary,Data,Stocks,3BUS,0,0,-124.8,0,0,-124.8,0,0,0,0,0,-124.8,;
Realized & Unrealized Performance Summary,Data,Stocks,3DES,0,0,-212,0,0,-212,0,0,0,0,0,-212,;
Realized & Unrealized Performance Summary,Data,Stocks,AAPL,0,689.51157595,0,589.93600827,0,1279.44758422,0,0,0,0,0,1279.44758422,;
Realized & Unrealized Performance Summary,Data,Stocks,AG,0,0,0,0,0,0,0,0,0,-4851.5737168,-4851.5737168,-4851.5737168,;
Realized & Unrealized Performance Summary,Data,Stocks,AMZN,0,0,0,0,-507.80885191,-507.80885191,0,0,0,0,0,-507.80885191,;
Realized & Unrealized Performance Summary,Data,Stocks,BBZA,0,0,0,0,-188,-188,0,0,0,0,0,-188,;
Realized & Unrealized Performance Summary,Data,Stocks,BNRd,0,0,0,117.275,0,117.275,0,0,0,0,0,117.275,;
Realized & Unrealized Performance Summary,Data,Stocks,BTCE,0,0,-40.5,0,0,-40.5,0,0,0,0,0,-40.5,;
Realized & Unrealized Performance Summary,Data,Stocks,BTEC,0,0,-150.427416,0,0,-150.427416,0,0,0,0,0,-150.427416,;
Realized & Unrealized Performance Summary,Data,Stocks,CCJ,0,0,0,0,0,0,0,0,1211.70928,0,1211.70928,1211.70928,;
Realized & Unrealized Performance Summary,Data,Stocks,CHTR,0,0,0,197.17275893,0,197.17275893,0,0,0,0,0,197.17275893,;
Realized & Unrealized Performance Summary,Data,Stocks,COPd,0,0,-203.75,0,-249.5,-453.25,0,0,0,0,0,-453.25,;
Realized & Unrealized Performance Summary,Data,Stocks,CRC,0,1404.28275,-224.84215,0,0,1179.4406,0,0,0,0,0,1179.4406,;
Realized & Unrealized Performance Summary,Data,Stocks,CTSH,0,0,0,0,0,0,0,0,0,-407.764618978,-407.764618978,-407.764618978,;
Realized & Unrealized Performance Summary,Data,Stocks,DBPDd,0,677.3194,-204.0082,0,0,473.3112,0,0,0,0,0,473.3112,;
Realized & Unrealized Performance Summary,Data,Stocks,DES2,0,0,-177.65,0,0,-177.65,0,0,0,0,0,-177.65,;
Realized & Unrealized Performance Summary,Data,Stocks,DOCN,0,0,-325.16690937,0,0,-325.16690937,0,0,0,0,0,-325.16690937,;
Realized & Unrealized Performance Summary,Data,Stocks,EIMI,0,0,0,0,-432.57238099,-432.57238099,0,0,0,0,0,-432.57238099,;
Realized & Unrealized Performance Summary,Data,Stocks,EOANd,0,0,-169.5525,40.455,-16.00375,-145.10125,0,0,0,0,0,-145.10125,;
Realized & Unrealized Performance Summary,Data,Stocks,EXV1d,0,208.05,0,0,0,208.05,0,0,0,0,0,208.05,;
Realized & Unrealized Performance Summary,Data,Stocks,EXV6d,0,26.5,0,0,0,26.5,0,0,0,0,0,26.5,;
Realized & Unrealized Performance Summary,Data,Stocks,FCX,0,0,-155.58773842,0,0,-155.58773842,0,0,0,0,0,-155.58773842,;
Realized & Unrealized Performance Summary,Data,Stocks,FLXI,0,94.25,0,0,0,94.25,10.75,-258.5,0,0,-247.75,-153.5,;
Realized & Unrealized Performance Summary,Data,Stocks,GOLD,0,0,0,0,-1374.22855011,-1374.22855011,0,0,0,0,0,-1374.22855011,;
Realized & Unrealized Performance Summary,Data,Stocks,GOOG,0,0,0,0,0,0,0,0,0,-502.580200288,-502.580200288,-502.580200288,;
Realized & Unrealized Performance Summary,Data,Stocks,GS71,0,0,0,0,0,0,0,0,61.054537,0,61.054537,61.054537,;
Realized & Unrealized Performance Summary,Data,Stocks,GSHD,0,0,-1044.13749201,0,0,-1044.13749201,0,0,0,0,0,-1044.13749201,;
Realized & Unrealized Performance Summary,Data,Stocks,GTT,0,646.5,-93.25,0,0,553.25,0,0,0,0,0,553.25,;
Realized & Unrealized Performance Summary,Data,Stocks,H6D0,0,0,0,45.821463,0,45.821463,0,0,0,0,0,45.821463,;
Realized & Unrealized Performance Summary,Data,Stocks,IVSD,0,0,0,307.683333,0,307.683333,0,0,0,0,0,307.683333,;
Realized & Unrealized Performance Summary,Data,Stocks,KMI,0,0,-279.10137099,0,0,-279.10137099,0,0,0,0,0,-279.10137099,;
Realized & Unrealized Performance Summary,Data,Stocks,MO,0,0,0,0,0,0,0,0,545.175752,0,545.175752,545.175752,;
Realized & Unrealized Performance Summary,Data,Stocks,MUV2d,0,0,0,1.85,-0.1,1.75,0,0,0,0,0,1.75,;
Realized & Unrealized Performance Summary,Data,Stocks,NEM,0,0,0,0,0,0,0,-389.88077376,0,0,-389.88077376,-389.88077376,;
Realized & Unrealized Performance Summary,Data,Stocks,NGLB,0,0,-184.25,0,0,-184.25,0,0,0,0,0,-184.25,;
Realized & Unrealized Performance Summary,Data,Stocks,NNI,0,0,0,0,0,0,0,0,1623.2793696,0,1623.2793696,1623.2793696,;
Realized & Unrealized Performance Summary,Data,Stocks,NOVC,0,1035.5822,0,2816.0675,0,3851.6497,0,0,0,0,0,3851.6497,;
Realized & Unrealized Performance Summary,Data,Stocks,NVDA,0,0,-1523.59013722,0,0,-1523.59013722,0,0,0,0,0,-1523.59013722,;
Realized & Unrealized Performance Summary,Data,Stocks,OD7Z,0,0,-253.6,0,0,-253.6,0,0,0,0,0,-253.6,;
Realized & Unrealized Performance Summary,Data,Stocks,PFE,0,0,0,1683.22097303,0,1683.22097303,0,0,0,0,0,1683.22097303,;
Realized & Unrealized Performance Summary,Data,Stocks,PHAG,0,0,0,0,-179.05,-179.05,0,0,0,0,0,-179.05,;
